,logFC,AveExpr,t,adj.P.Val,B,EntrezID,symbols,P.Value,Rank_1,HPO_Freq,NewP.value,Rank_2,Rank_1-Rank2
236361_at,-0.104489399,3.478201734,-2.068060464,0.508403782,-3.981663362,117248,GALNT15,0.050994116,3571,0,0.050994116,5000,-1429
217025_s_at,-0.311300769,6.576848834,-2.068032721,0.508403782,-3.981708452,1627,DBN1,0.05099696,3572,0,0.05099696,5001,-1429
218606_at,-0.101673715,8.78855376,-2.067906485,0.508403782,-3.981913608,55625,ZDHHC7,0.051009903,3573,0,0.051009903,5002,-1429
219404_at,-0.077777443,5.306314189,-1.481806128,0.660175552,-4.838099084,79574,EPS8L3,0.153037056,7400,2,0.051012352,5003,2397
202853_s_at,-0.176510556,7.620753324,-2.067590755,0.508403782,-3.982426695,6259,RYK,0.051042288,3574,0,0.051042288,5004,-1430
213325_at,-0.090947562,3.046539698,-2.067587474,0.508403782,-3.982432027,25945,NECTIN3,0.051042624,3575,0,0.051042624,5005,-1430
221173_at,-0.043794969,3.621347504,-0.753297362,0.848545684,-5.568085566,10083,USH1C,0.459518142,14061,8,0.051057571,5006,9055
214612_x_at,-0.088304499,3.284201464,-2.067355901,0.508403782,-3.98280832,4105,MAGEA6,0.051066389,3577,0,0.051066389,5007,-1430
242518_at,0.330026786,4.21214811,2.067074815,0.508403782,-3.983265033,100505648,RAD51-AS1,0.051095248,3578,0,0.051095248,5008,-1430
208822_s_at,-0.103994501,10.6081834,-2.067066605,0.508403782,-3.983278371,7818,DAP3,0.051096091,3579,0,0.051096091,5009,-1430
232217_at,0.110925192,4.909248335,2.066849596,0.508421653,-3.983630943,254228,CALHM5,0.051118382,3580,0,0.051118382,5010,-1430
212893_at,-0.1060717,8.496575691,-2.065814435,0.509138968,-3.985312432,26009,ZZZ3,0.051224831,3582,0,0.051224831,5011,-1429
227823_at,0.100836435,5.974843673,2.065426415,0.509433304,-3.985942586,340526,RTL5,0.051264784,3584,0,0.051264784,5012,-1428
228846_at,0.233352425,6.249865893,2.065162938,0.50958429,-3.986370435,4084,MXD1,0.051291928,3585,0,0.051291928,5013,-1428
